host,size,shuffle,variant,reference,tm_med,tr_med,tm_ratio,tr_ratio,tm_w1_pct,tr_w1_pct,delta_w1_pct,tr_gt_tm_w1
camd9554n1,64,0,papix6_current,tsc_current,3344.0,2713.0,2.074441687344913,1.7149178255372945,106.80873425213527,69.82156442106319,36.98716983107208,False
camd9554n1,64,0,papix6_no_read,tsc_current,3354.0,2723.0,2.0806451612903225,1.7212389380530972,107.62399393853205,70.63682248080035,36.987171457731705,False
camd9554n1,64,0,papix6_read_before_ns0,tsc_current,2223.0,1592.0,1.3790322580645162,1.0063211125158027,37.098408693804714,0.3122667493796526,36.78614194442506,False
camd9554n1,64,0,tsc_cpuid_mem,tsc_current,1612.0,1582.0,1.0,1.0,0.04036899384827927,0.046498759305210934,-0.0061297654569316615,True
camd9554n1,64,0,tsc_current,tsc_current,1612.0,1582.0,1.0,1.0,0.0,0.0,0.0,False
camd9554n1,64,0,tsc_lfence_mem,tsc_current,2724.0,2694.0,1.6898263027295286,1.7029077117572693,68.34586327212149,68.58974332440555,-0.24388005228405518,True
camd9554n1,64,0,tsc_native_current,tsc_current,2744.0,2714.0,1.7022332506203475,1.715549936788875,70.06963630833452,70.36534390612509,-0.29570759779056743,True
camd9554n1,64,0,tsc_pre_cgt,tsc_current,1602.0,1582.0,0.9937965260545906,1.0,0.7941243926449961,0.14382133995037225,0.6503030526946239,False
camd9554n1,64,0,wtime_current,tsc_current,2763.0,2723.0,1.7140198511166254,1.7212389380530972,70.69870676806254,70.32817617866006,0.3705305894024775,False
camd9554n1,64,1,cgt_current,tsc_current,2764.0,2724.0,1.7146401985111663,1.7218710493046776,70.52597139355298,70.17078846153846,0.35518293201451456,False
camd9554n1,64,1,papi_time_only,tsc_current,2213.0,1583.0,1.3728287841191067,1.0006321112515804,36.94670209879903,0.33719602977667495,36.60950606902235,False
camd9554n1,64,1,papix6_current,tsc_current,3344.0,2713.0,2.074441687344913,1.7149178255372945,106.79362450561784,69.79556537439284,36.998059131225006,False
camd9554n1,64,1,papix6_no_read,tsc_current,3354.0,2723.0,2.0806451612903225,1.7212389380530972,107.49637921210065,70.49832071960299,36.99805849249766,False
camd9554n1,64,1,papix6_read_before_ns0,tsc_current,2213.0,1583.0,1.3728287841191067,1.0006321112515804,36.99947399589622,0.36236563275434236,36.63710836314188,False
camd9554n1,64,1,tsc_cpuid_mem,tsc_current,1612.0,1582.0,1.0,1.0,0.009292069703753252,0.004212158808933048,0.005079910894820204,False
camd9554n1,64,1,tsc_current,tsc_current,1612.0,1582.0,1.0,1.0,0.0,0.0,0.0,False
camd9554n1,64,1,tsc_lfence_mem,tsc_current,2724.0,2694.0,1.6898263027295286,1.7029077117572693,68.41228355428845,68.69710417960295,-0.28482062531449515,True
